指標名,ミシュラン掲載レストラン,,,,,,,3つ星,特別な料理,
渋谷区,富ヶ谷１丁目,-,渋谷区富ヶ谷 1-51-10,35.66863,139.68907,クリスチアノ／Cristiano's,ポルトガル料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/cristiano-s
中央区,銀座２丁目,-,中央区銀座 2-6-5 12F,35.67369,139.76716,アロマフレスカ／Aroma Fresca,イタリア料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/aroma-fresca
新宿区,荒木町,-,新宿区荒木町 10,35.68990,139.72262,荒木町 たつや／Arakicho Tatsuya,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/arakicho-tatsuya
渋谷区,神山町,-,渋谷区神山町 11-10 B1F,35.66308,139.69454,すし 光琳／SUSHI KOURIN,寿司,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-kourin
中央区,銀座４丁目,-,中央区銀座 4-2-15 B1F,35.67263,139.76402,バードランド／BIRD LAND,焼鳥,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/bird-land
渋谷区,恵比寿西２丁目,-,渋谷区恵比寿西 2-8-11 3F,35.64953,139.70756,天ぷら 元吉／Tempura Motoyoshi,天ぷら,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-motoyoshi
千代田区,丸の内１丁目,大丸有,千代田区丸の内 1-3-4 丸の内テラス 10F,35.68435,139.76404,アッパー／THE UPPER,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/the-upper
新宿区,新宿２丁目,-,新宿区新宿 2-4-1,35.68877,139.70826,SOBAHOUSE 金色不如帰／SOBAHOUSE KONJIKI HOTOTOGISU,ラーメン,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sobahouse-konjikihototogisu
港区,南青山５丁目,-,港区南青山 5-4-30,35.66176,139.71418,宮坂／Miyasaka,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/miyasaka
新宿区,神楽坂３丁目,-,新宿区神楽坂 3-5-5,35.70081,139.74085,虎白／Kohaku,日本料理,3つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kohaku
港区,六本木６丁目,六本木,港区六本木 6-12-3 六本木ヒルズレジデンス C棟 3F,35.65889,139.73015,ラ・ブリアンツァ／La Brianza,イタリア料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/la-brianza
中央区,銀座８丁目,-,中央区銀座 8-7-19 3F,35.66851,139.76101,御料理 かつ志／Oryori Katsushi,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/oryori-katsushi
渋谷区,猿楽町,-,渋谷区猿楽町 2-5,35.65299,139.70483,アタ／Äta,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ata
中央区,銀座５丁目,-,中央区銀座 5-6-10 4F,35.67074,139.76365,喰善 あべ／Shokuzen Abe,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shokuzen-abe
港区,南麻布２丁目,-,港区南麻布 2-5-21,35.65000,139.73711,タストゥー／T'astous,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/t-astous
中央区,築地３丁目,-,中央区築地 3-16-9 B1F,35.66635,139.77125,清壽／Seiju,天ぷら,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/seiju
新宿区,袋町,-,新宿区袋町 3-4,35.70117,139.73863,神楽坂 まる富／Kagurazaka Marutomi,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/akebonobashi-marutomi
渋谷区,神宮前５丁目,-,渋谷区神宮前 5-51-8 ラ・ポルト青山 10F,35.66291,139.70947,ブノワ／Benoit,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/benoit-1207988
中央区,銀座１丁目,-,中央区銀座 1-27-8,35.67272,139.77206,ビストロ・シンバ／bistro simba,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/bistro-simba
品川区,南大井６丁目,-,品川区南大井 6-11-10,35.59081,139.73279,Homemade Ramen 麦苗／Homemade Ramen Muginae,ラーメン,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/homemade-ramen-muginae
港区,西麻布４丁目,-,港区西麻布 4-11-25 2F,35.65922,139.72234,常／Towa,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/towa
中央区,日本橋２丁目,日八京,中央区日本橋 2-10-11 6F,35.68098,139.77461,天ぷら 浅沼／Tempura Asanuma,天ぷら,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-asanuma
品川区,上大崎３丁目,-,品川区上大崎 3-3-4,35.63394,139.71806,やきとり 阿部／Yakitori Abe,焼鳥,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yakitori-abe
港区,六本木１丁目,虎ノ門,港区六本木 1-9-10 アークヒルズ仙石山森タワー 1F,35.66341,139.74180,ローブ／L'aube,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-aube
江東区,東陽１丁目,-,江東区東陽 1-11-3,35.66849,139.81033,コンメディア／commedia,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/commedia
渋谷区,代々木２丁目,-,渋谷区代々木 2-6-5,35.68795,139.69891,鳥茂／Torishige,豚肉料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/torishige
千代田区,大手町１丁目,大丸有,千代田区大手町 1-5-6 大手町タワー アマン東京 33F,35.68555,139.76537,アルヴァ／Arva,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/arva-1207977
中央区,日本橋室町２丁目,日八京,中央区日本橋室町 2-3-1 コレド室町2 1F,35.68690,139.77485,ラ・ボンヌターブル／LA BONNE TABLE,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/la-bonne-table
港区,元麻布３丁目,-,港区元麻布 3-10-5 2F,35.65688,139.73231,天 よこた／Ten Yokota,天ぷら,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ten-yokota
渋谷区,恵比寿２丁目,-,渋谷区恵比寿 2-23-3,35.64771,139.72019,おでこ／au deco,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/au-deco
千代田区,紀尾井町,赤坂,千代田区紀尾井町 1-3 東京ガーデンテラス紀尾井町 3F,35.67999,139.73794,マス／MAZ,イノベーティブ,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/maz
港区,西麻布１丁目,-,港区西麻布 1-10-16 ,35.66156,139.72413,西麻布 野口／Nishiazabu Noguchi,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nishiazabu-noguchi
江東区,三好２丁目,-,江東区三好 2-15-12,35.68028,139.80269,オーツー／O2,中国料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/o2
港区,三田３丁目,-,港区三田 3-4-2,35.64631,139.74286,聖坂 和敬／Hijirizaka Wakei,日本料理,-,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/azabu-wakei
港区,南青山４丁目,-,港区南青山 4-11-13,35.66569,139.71761,ジンボ ミナミ アオヤマ／JINBO MINAMI AOYAMA,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/jinbo-minami-aoyama
中央区,日本橋室町２丁目,日八京,中央区日本橋室町 2-4-3 YUITO 1F,35.68702,139.77395,ポンドール・イノ／Pont d'Or Inno,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/pont-d-or-inno
渋谷区,広尾５丁目,-,渋谷区広尾 5-25-4,35.64786,139.72116,天てんぷら うち津／Tentempura Uchitsu,天ぷら,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tentempura-uchitsu
渋谷区,神宮前３丁目,-,渋谷区神宮前 3-42-5,35.67100,139.71384,ブラマソーレ／BRAMASOLE,イタリア料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/bramasole
港区,白金６丁目,-,港区白金 6-5-3,35.64444,139.72476,あき山／Akiyama,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/akiyama
渋谷区,上原１丁目,-,渋谷区上原 1-35-3,35.66955,139.68214,シオ／sio,現代風料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sio
中央区,銀座６丁目,-,中央区銀座 6-4-13 2F,35.67105,139.76107,鮨 太一／Sushi Taichi,寿司,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-taichi
中央区,銀座２丁目,-,中央区銀座 2-4-6 8F,35.67399,139.76641,マシア／MASIA,スペイン料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/masia
港区,麻布十番２丁目,-,港区麻布十番 2-8-16 4F,35.65556,139.73390,てんぷら 前平／Tempura Maehira,天ぷら,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-maehira
港区,六本木７丁目,六本木,港区六本木 7-5-11,35.66493,139.72781,ヒカリモノ／Hikarimono,寿司,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hikarimono
中央区,新川２丁目,-,中央区新川 2-18-4,35.67458,139.78172,中国菜 漢／Chugokusai Kan,中国料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/chugokusai-kan
中央区,銀座７丁目,-,中央区銀座 7-8-7 7F,35.66901,139.76238,銀座 ハプスブルク・ファイルヒェン／GINZA HABSBURG VEILCHEN,オーストリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-habsburg-veilchen
港区,新橋３丁目,虎ノ門広域,港区新橋 3-2-3,35.66643,139.75465,鮨 神楽／Sushi Kagura,寿司,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-kagura
江東区,森下１丁目,-,江東区森下 1-7-6,35.68693,139.79761,たかはし／Takahashi,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/takahashi-1205597
中央区,銀座５丁目,-,中央区銀座 5-14-14 5F,35.66857,139.76691,馳創 吼龍／Chiso Koryu,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/chiso-koryu
千代田区,丸の内１丁目,大丸有,千代田区丸の内 1-11-1 フォーシーズンズホテル丸の内 東京 7F,35.67814,139.76698,セザン／SÉZANNE,"フランス料理, 現代風料理",3つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sezanne
港区,白金台５丁目,-,港区白金台 5-13-14 B1F,35.63774,139.72278,三和／Sanwa,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sanwa
新宿区,矢来町,-,新宿区矢来町 64-4 2F,35.70348,139.73282,焼鳥 山香／Yakitori SANKA,焼鳥,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yakitori-sanka
新宿区,四谷３丁目,-,新宿区四谷 3-3-6 B1F,35.68853,139.72188,荒木町 きんつぎ／Arakicho Kintsugi,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/arakicho-kintsugi
中央区,銀座８丁目,-,中央区銀座 8-3-1 6F,35.66925,139.75925,青空／Harutaka,寿司,3つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/harutaka
港区,六本木４丁目,六本木,港区六本木 4-12-12,35.66477,139.73168,入鹿 TOKYO／IRUCA TOKYO,ラーメン,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/iruca-tokyo
千代田区,西神田２丁目,-,千代田区西神田 2-4-9,35.69836,139.75435,神保町 五木田／Jimbocho Gokita,"焼鳥, フランス料理",-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/jimbocho-gokita
渋谷区,東２丁目,-,渋谷区東 2-25-38,35.65355,139.70774,久原／Kuhara,日本料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/koryori-kuhara
港区,赤坂９丁目,六本木,港区赤坂 9-1-7,35.66804,139.73291,江戸前鮨 英／Edomae Sushi Hanabusa,寿司,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/edomae-sushi-hanabusa
新宿区,神楽坂４丁目,-,新宿区神楽坂 4-3 4F,35.70171,139.73982,愚直に／Guchokuni,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/guchokuni
港区,六本木６丁目,六本木,港区六本木 6-8-28 2F,35.66012,139.73213,根深／Nebuka,現代風料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nebuka
港区,麻布十番２丁目,-,港区麻布十番 2-6-2 3F,35.65622,139.73306,たそがれ／Tasogare,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tasogare
港区,西麻布２丁目,-,港区西麻布 2-16-4,35.66170,139.72078,割烹 室井／Kappo Muroi,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kappo-muroi
中央区,日本橋人形町２丁目,-,中央区日本橋人形町 2-10-11 3F,35.68564,139.78405,御料理 心馬／Oryori Kokoroba,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/oryori-kokoroba
港区,高輪２丁目,-,港区高輪 2-1-62 2F,35.64065,139.73774,中国菜 華丘房／Chugokusai KAKYU-BOU,中国料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/chugokusai-kakyu-bou
新宿区,荒木町,-,新宿区荒木町 3-21 2F,35.68858,139.72297,四ツ谷 みね村／Yotsuya Minemura,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yotsuya-minemura
渋谷区,広尾５丁目,-,渋谷区広尾 5-9-13,35.64876,139.72165,リストランテ ラ プリムラ／RISTORANTE la primula,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ristorante-la-primula
中央区,新富１丁目,-,中央区新富 1-5-12 2F,35.67243,139.77283,オルタンシア／hortensia,"フランス料理, 現代風フランス料理",1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hortensia
港区,白金５丁目,-,港区白金 5-12-24,35.64531,139.72372,オルタナティヴ／Alternative,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/alternative
中央区,銀座４丁目,-,中央区銀座 4-11-9,35.66986,139.76861,歌舞伎座裏まさし／Kabukizaura Masashi,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kabukizaura-masashi
渋谷区,恵比寿西２丁目,-,渋谷区恵比寿西 2-7-10 B1F,35.65053,139.70714,ソーセ／Saucer,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/saucer
渋谷区,恵比寿３丁目,-,渋谷区恵比寿 3-28-2,35.64376,139.71569,鳥焼き 小花／Toriyaki Ohana,鳥料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/toriyaki-ohana
渋谷区,笹塚１丁目,-,渋谷区笹塚 1-62-6,35.67274,139.66238,立食い鮨 鮨川／Tachiguisushi Sushikawa,寿司,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tachiguisushi-sushikawa
渋谷区,代々木４丁目,-,渋谷区代々木 4-1-7,35.67928,139.69363,オルケストラ／Orchestra,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/orchestra
港区,南青山３丁目,-,港区南青山 3-10-38,35.66637,139.71450,ミソラ／misola,"イタリア料理, 現代風料理",-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/misola
新宿区,若宮町,-,新宿区若宮町 12-4 3F,35.70029,139.73937,イチニーヨン.カグラザカ／124. KAGURAZAKA,焼鳥,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/124-kagurazaka
中央区,築地１丁目,-,中央区築地 1-5-11 B1F,35.67002,139.77164,プリモ パッソ／PRIMO PASSO,イタリア料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/primo-passo
港区,虎ノ門２丁目,虎ノ門,港区虎ノ門 2-6-2 虎ノ門ヒルズ ステーションタワー 49F,35.66733,139.74731,アポテオーズ／apothéose,フランス料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/apotheose
中央区,京橋２丁目,日八京,中央区京橋 2-4-16,35.67688,139.76896,シェ・イノ／Chez Inno,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/chez-inno
港区,赤坂６丁目,赤坂,港区赤坂 6-11-10,35.66965,139.73484,ワキヤ 一笑美茶樓／Wakiya Ichiemicharo,中国料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/wakiya-ichiemicharo
港区,西麻布２丁目,-,港区西麻布 2-2-2,35.66380,139.72026,田中田 西麻布店／Tanakada Nishiazabuten,居酒屋,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tanakada-nishiazabuten
新宿区,袋町,-,新宿区袋町 3-4 3F,35.70117,139.73863,一凛／Ichirin,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ichirin
新宿区,神楽坂４丁目,-,新宿区神楽坂 4-2 2F,35.70215,139.73982,初志／Uisane,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/uisane
港区,新橋２丁目,虎ノ門広域,港区新橋 2-20-15 新橋駅前ビル1号館 1F,35.66623,139.75955,はるちゃんラーメン／HARU CHAN Ramen,ラーメン,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/haru-chan-ramen
港区,南青山７丁目,-,港区南青山 7-12-12 B1F,35.65774,139.71839,スダチ／Sudachi,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sudachi
中央区,東日本橋２丁目,-,中央区東日本橋 2-11-7,35.69284,139.78715,旬華 なか村／Shunka Nakamura,中国料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shunka-nakamura
千代田区,平河町２丁目,-,千代田区平河町 2-5-7 B1F,35.67973,139.73874,ヌー トウキョウ／Nœud. TOKYO,"フランス料理, 現代風料理",-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/n%C5%93ud-tokyo
港区,赤坂７丁目,赤坂,港区赤坂 7-5-34,35.67102,139.73020,ライラ／Lyla,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/lyla
港区,虎ノ門５丁目,虎ノ門,港区虎ノ門 5-3-3,35.66277,139.74420,空花／Sorahana,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sorahana
中央区,日本橋人形町３丁目,-,中央区日本橋人形町 3-4-11,35.68625,139.78123,かつ好／Katsuyoshi,とんかつ,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/katsuyoshi
港区,赤坂２丁目,赤坂,港区赤坂 2-17-59 2F,35.67059,139.73797,赤坂 渡なべ／Akasaka Watanabe,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/akasaka-watanabe
中央区,銀座５丁目,-,中央区銀座 5-6-10 5F,35.67074,139.76365,ぎんざ かつかみ／Ginza Katsukami,とんかつ,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-katsukami
港区,新橋１丁目,虎ノ門広域,港区新橋 1-8-4 2F,35.66708,139.76052,トキ／TOKi,"現代風料理, 現代風スペイン料理",1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/toki
港区,北青山３丁目,-,港区北青山 3-4-3 ののあおやま 2F,35.66771,139.71304,シオ アオヤマ／sio AOYAMA,現代風料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sio-aoyama
中央区,築地６丁目,-,中央区築地 6-7-7,35.66500,139.77368,ふぐ倶楽部 miyawaki 別邸／Fugu Club miyawaki Bettei,ふぐ,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/fugu-club-miyawaki-bettei
渋谷区,渋谷２丁目,-,渋谷区渋谷 2-6-1,35.66002,139.70831,モノリス／MONOLITH,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/monolith
港区,赤坂８丁目,赤坂,港区赤坂 8-11-19,35.66859,139.72899,乃木坂 しん／Nogizaka Shin,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nogizaka-shin
渋谷区,代々木４丁目,-,渋谷区代々木 4-1-6,35.67921,139.69371,ロク／roku,フランス料理,ビブグルマン,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/roku
港区,虎ノ門５丁目,虎ノ門,港区虎ノ門 5-10-7 麻布台ヒルズ ガーデンプラザD 2F,35.66162,139.74345,フロリレージュ／Florilège,フランス料理,2つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/florilege
港区,西麻布１丁目,-,港区西麻布 1-4-23,35.66152,139.72392,西麻布 大竹／Nishiazabu Otake,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nishiazabu-otake
港区,東麻布２丁目,-,港区東麻布 2-19-2,35.65671,139.74248,ユヌ パンセ／UNE PINCÉE,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/une-pincee
港区,西麻布４丁目,-,港区西麻布 4-18-20,35.65835,139.71884,西麻布 鮨 真／Nishiazabu Sushi Shin,寿司,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nishiazabu-sushi-shin
中央区,銀座７丁目,-,中央区銀座 7-5-5,35.66989,139.76179,ロオジエ／L'OSIER,"フランス料理, 現代風フランス料理",3つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-osier
中央区,銀座６丁目,-,中央区銀座 6-5-6 4F,35.67094,139.76185,茂松／SHIGEMATSU,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shigematsu
渋谷区,恵比寿西１丁目,-,渋谷区恵比寿西 1-30-12,35.64847,139.70567,アビス／abysse,"フランス料理, 現代風料理",1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/abysse
中央区,銀座１丁目,-,中央区銀座 1-21-2,35.67277,139.77110,ラ・ベットラ・ダ・オチアイ／LA BETTOLA da Ochiai,イタリア料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/la-bettola-da-ochiai
中央区,銀座２丁目,-,中央区銀座 2-7-12 9F,35.67293,139.76724,ブルガリ イル・リストランテ ルカ・ファンティン／BVLGARI IL RISTORANTE LUCA FANTIN,イタリア料理,-,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/bvlgari-il-ristorante-luca-fantin
